action,scenario,year,m_euro
"Витрати на транспортування, постачання та проміжні технології",Революційний,2025,2346
"Витрати на транспортування, постачання та проміжні технології",Революційний,2030,2758
"Витрати на транспортування, постачання та проміжні технології",Революційний,2035,3472
"Витрати на транспортування, постачання та проміжні технології",Революційний,2040,4184
"Витрати на транспортування, постачання та проміжні технології",Революційний,2045,4628
"Витрати на транспортування, постачання та проміжні технології",Революційний,2050,4798
Експлуатаційні витрати (технології виробництва е/е та тепла),Революційний,2012,1515
Експлуатаційні витрати (технології виробництва е/е та тепла),Революційний,2015,1592
Експлуатаційні витрати (технології виробництва е/е та тепла),Революційний,2020,2260
Експлуатаційні витрати (технології виробництва е/е та тепла),Революційний,2025,3053
Експлуатаційні витрати (технології виробництва е/е та тепла),Революційний,2030,3698
Експлуатаційні витрати (технології виробництва е/е та тепла),Революційний,2035,4216
Експлуатаційні витрати (технології виробництва е/е та тепла),Революційний,2040,5049
Експлуатаційні витрати (технології виробництва е/е та тепла),Революційний,2045,5878
Експлуатаційні витрати (технології виробництва е/е та тепла),Революційний,2050,7081
Експлуатаційні витрати (технології кінцевого енергоспоживання),Революційний,2012,2880
Експлуатаційні витрати (технології кінцевого енергоспоживання),Революційний,2015,3067
Експлуатаційні витрати (технології кінцевого енергоспоживання),Революційний,2020,5392
Експлуатаційні витрати (технології кінцевого енергоспоживання),Революційний,2025,9686
Експлуатаційні витрати (технології кінцевого енергоспоживання),Революційний,2030,14430
Експлуатаційні витрати (технології кінцевого енергоспоживання),Революційний,2035,18559
Експлуатаційні витрати (технології кінцевого енергоспоживання),Революційний,2040,21565
Експлуатаційні витрати (технології кінцевого енергоспоживання),Революційний,2045,23892
Експлуатаційні витрати (технології кінцевого енергоспоживання),Революційний,2050,26155
Субсидії («зелений» тариф),Революційний,2012,157
Субсидії («зелений» тариф),Революційний,2015,286
Субсидії («зелений» тариф),Революційний,2020,2445
Субсидії («зелений» тариф),Революційний,2025,7621
Субсидії («зелений» тариф),Революційний,2030,8827
Субсидії («зелений» тариф),Революційний,2035,0
Субсидії («зелений» тариф),Революційний,2040,0
Субсидії («зелений» тариф),Революційний,2045,0
Субсидії («зелений» тариф),Революційний,2050,0
