source,sphere,scenario,year,ktne
Біопаливо та відходи,сфера послуг,Базовий,2030,592.0
Біопаливо та відходи,сфера послуг,Базовий,2035,769.0
Біопаливо та відходи,сфера послуг,Базовий,2040,833.0
Біопаливо та відходи,сфера послуг,Базовий,2045,877.0
Біопаливо та відходи,сфера послуг,Базовий,2050,901.0
Теплова енергія з ВДЕ,сфера послуг,Базовий,2012,2.0
Теплова енергія з ВДЕ,сфера послуг,Базовий,2015,5.0
Теплова енергія з ВДЕ,сфера послуг,Базовий,2020,27.0
Теплова енергія з ВДЕ,сфера послуг,Базовий,2025,32.0
Теплова енергія з ВДЕ,сфера послуг,Базовий,2030,37.0
Теплова енергія з ВДЕ,сфера послуг,Базовий,2035,42.0
Теплова енергія з ВДЕ,сфера послуг,Базовий,2040,46.0
Теплова енергія з ВДЕ,сфера послуг,Базовий,2045,53.0
Теплова енергія з ВДЕ,сфера послуг,Базовий,2050,58.0
Електроенергія з ВДЕ,сфера послуг,Базовий,2012,118.0
Електроенергія з ВДЕ,сфера послуг,Базовий,2015,101.0
Електроенергія з ВДЕ,сфера послуг,Базовий,2020,158.0
Електроенергія з ВДЕ,сфера послуг,Базовий,2025,180.0
Електроенергія з ВДЕ,сфера послуг,Базовий,2030,193.0
Електроенергія з ВДЕ,сфера послуг,Базовий,2035,192.0
Електроенергія з ВДЕ,сфера послуг,Базовий,2040,186.0
Електроенергія з ВДЕ,сфера послуг,Базовий,2045,188.0
Електроенергія з ВДЕ,сфера послуг,Базовий,2050,195.0
Вугілля,сфера послуг,Базовий,2012,161.0
Вугілля,сфера послуг,Базовий,2015,67.0
Вугілля,сфера послуг,Базовий,2020,164.0
Вугілля,сфера послуг,Базовий,2025,150.0
Вугілля,сфера послуг,Базовий,2030,136.0
Вугілля,сфера послуг,Базовий,2035,119.0
Вугілля,сфера послуг,Базовий,2040,99.0
Вугілля,сфера послуг,Базовий,2045,94.0
Вугілля,сфера послуг,Базовий,2050,96.0
Газ,сфера послуг,Базовий,2012,463.0
Газ,сфера послуг,Базовий,2015,195.0
Газ,сфера послуг,Базовий,2020,663.0
Газ,сфера послуг,Базовий,2025,733.0
Газ,сфера послуг,Базовий,2030,791.0
Газ,сфера послуг,Базовий,2035,841.0
Газ,сфера послуг,Базовий,2040,883.0
Газ,сфера послуг,Базовий,2045,918.0
Газ,сфера послуг,Базовий,2050,941.0
Нафта та нафтопродукти,сфера послуг,Базовий,2012,78.0
Нафта та нафтопродукти,сфера послуг,Базовий,2015,92.0
Нафта та нафтопродукти,сфера послуг,Базовий,2020,62.0
Нафта та нафтопродукти,сфера послуг,Базовий,2025,72.0
Нафта та нафтопродукти,сфера послуг,Базовий,2030,57.0
Нафта та нафтопродукти,сфера послуг,Базовий,2035,89.0
Нафта та нафтопродукти,сфера послуг,Базовий,2040,63.0
Нафта та нафтопродукти,сфера послуг,Базовий,2045,48.0
Нафта та нафтопродукти,сфера послуг,Базовий,2050,49.0
Теплова енергія,сфера послуг,Базовий,2012,2326.0
Теплова енергія,сфера послуг,Базовий,2015,1555.0
Теплова енергія,сфера послуг,Базовий,2020,2370.0
Теплова енергія,сфера послуг,Базовий,2025,2580.0
Теплова енергія,сфера послуг,Базовий,2030,2798.0
Теплова енергія,сфера послуг,Базовий,2035,2903.0
Теплова енергія,сфера послуг,Базовий,2040,3045.0
Теплова енергія,сфера послуг,Базовий,2045,3163.0
Теплова енергія,сфера послуг,Базовий,2050,3242.0
Електроенергія,сфера послуг,Базовий,2012,1862.0
Електроенергія,сфера послуг,Базовий,2015,1777.0
Електроенергія,сфера послуг,Базовий,2020,2000.0
Електроенергія,сфера послуг,Базовий,2025,2166.0
Електроенергія,сфера послуг,Базовий,2030,2313.0
Електроенергія,сфера послуг,Базовий,2035,2475.0
Електроенергія,сфера послуг,Базовий,2040,2607.0
Електроенергія,сфера послуг,Базовий,2045,2714.0
Електроенергія,сфера послуг,Базовий,2050,2801.0
Біопаливо та відходи,сільське господарство,Базовий,2012,20.0
Біопаливо та відходи,сільське господарство,Базовий,2015,19.0
Біопаливо та відходи,сільське господарство,Базовий,2020,24.0
Біопаливо та відходи,сільське господарство,Базовий,2025,26.0
Біопаливо та відходи,сільське господарство,Базовий,2030,28.0
Біопаливо та відходи,сільське господарство,Базовий,2035,29.0
Біопаливо та відходи,сільське господарство,Базовий,2040,30.0
Біопаливо та відходи,сільське господарство,Базовий,2045,31.0
Біопаливо та відходи,сільське господарство,Базовий,2050,31.0
Теплова енергія з ВДЕ,сільське господарство,Базовий,2012,0.0
Теплова енергія з ВДЕ,сільське господарство,Базовий,2015,1.0
Теплова енергія з ВДЕ,сільське господарство,Базовий,2020,4.0
Теплова енергія з ВДЕ,сільське господарство,Базовий,2025,4.0
Теплова енергія з ВДЕ,сільське господарство,Базовий,2030,5.0
Теплова енергія з ВДЕ,сільське господарство,Базовий,2035,6.0
Теплова енергія з ВДЕ,сільське господарство,Базовий,2040,7.0
Теплова енергія з ВДЕ,сільське господарство,Базовий,2045,7.0
Теплова енергія з ВДЕ,сільське господарство,Базовий,2050,8.0
Електроенергія з ВДЕ,сільське господарство,Базовий,2012,20.0
Електроенергія з ВДЕ,сільське господарство,Базовий,2015,16.0
Електроенергія з ВДЕ,сільське господарство,Базовий,2020,25.0
Електроенергія з ВДЕ,сільське господарство,Базовий,2025,29.0
Електроенергія з ВДЕ,сільське господарство,Базовий,2030,31.0
Електроенергія з ВДЕ,сільське господарство,Базовий,2035,31.0
Електроенергія з ВДЕ,сільське господарство,Базовий,2040,30.0
Електроенергія з ВДЕ,сільське господарство,Базовий,2045,30.0
Електроенергія з ВДЕ,сільське господарство,Базовий,2050,31.0
Вугілля,сільське господарство,Базовий,2012,14.0
Вугілля,сільське господарство,Базовий,2015,9.0
Вугілля,сільське господарство,Базовий,2020,14.0
Вугілля,сільське господарство,Базовий,2025,16.0
Вугілля,сільське господарство,Базовий,2030,17.0
Вугілля,сільське господарство,Базовий,2035,18.0
